"Exemplar.1","Exemplar.2","Group","Jaccard"
1,18,"P6",0.222
1,19,"P6",0.158
1,20,"P6",0.158
2,3,"P6",0.158
2,4,"P6",0.1
2,5,"P6",0.15
2,6,"P6",0.048
2,7,"P6",0.048
2,8,"P6",0
2,9,"P6",0.1
2,10,"P6",0.1
2,11,"P6",0.375
2,12,"P6",0.222
2,13,"P6",0.1
2,14,"P6",0.158
2,15,"P6",0.105
2,16,"P6",0.294
2,17,"P6",0.158
2,18,"P6",0.1
2,19,"P6",0.158
2,20,"P6",0.1
3,4,"P6",0.222
3,5,"P6",0.095
3,6,"P6",0.222
3,7,"P6",0.158
3,8,"P6",0.048
3,9,"P6",0.1
3,10,"P6",0.222
3,11,"P6",0.1
3,12,"P6",0.158
3,13,"P6",0.158
3,14,"P6",0.294
3,15,"P6",0.05
3,16,"P6",0.158
3,17,"P6",0.222
3,18,"P6",0.048
3,19,"P6",0.158
3,20,"P6",0.1
4,5,"P6",0.095
4,6,"P6",0.048
4,7,"P6",0.158
4,8,"P6",0
4,9,"P6",0.048
4,10,"P6",0.294
4,11,"P6",0.158
4,12,"P6",0.294
4,13,"P6",0.048
4,14,"P6",0.1
4,15,"P6",0.167
4,16,"P6",0.158
4,17,"P6",0.1
4,18,"P6",0.1
4,19,"P6",0.1
4,20,"P6",0.1
5,6,"P6",0.095
5,7,"P6",0.15
5,8,"P6",0.095
5,9,"P6",0.15
5,10,"P6",0.045
5,11,"P6",0.15
5,12,"P6",0.15
5,13,"P6",0.278
5,14,"P6",0.045
5,15,"P6",0.048
5,16,"P6",0.045
5,17,"P6",0.095
5,18,"P6",0
5,19,"P6",0.211
5,20,"P6",0.211
6,7,"P6",0.158
6,8,"P6",0.222
6,9,"P6",0.222
6,10,"P6",0.1
6,11,"P6",0.048
6,12,"P6",0.048
6,13,"P6",0.375
6,14,"P6",0.158
6,15,"P6",0.05
6,16,"P6",0.158
6,17,"P6",0.048
6,18,"P6",0.1
6,19,"P6",0.375
6,20,"P6",0.048
7,8,"P6",0.158
7,9,"P6",0.294
7,10,"P6",0.1
7,11,"P6",0.1
7,12,"P6",0.158
7,13,"P6",0.158
7,14,"P6",0
7,15,"P6",0.105
7,16,"P6",0.222
7,17,"P6",0.048
7,18,"P6",0.048
7,19,"P6",0.1
7,20,"P6",0.048
8,9,"P6",0.294
8,10,"P6",0.048
8,11,"P6",0.1
8,12,"P6",0
8,13,"P6",0.1
8,14,"P6",0.048
8,15,"P6",0.05
8,16,"P6",0.048
8,17,"P6",0
8,18,"P6",0.048
8,19,"P6",0.048
8,20,"P6",0.375
9,10,"P6",0.1
9,11,"P6",0.158
9,12,"P6",0.222
9,13,"P6",0.158
9,14,"P6",0
9,15,"P6",0.105
9,16,"P6",0.158
9,17,"P6",0
9,18,"P6",0.048
9,19,"P6",0.048
9,20,"P6",0.1
10,11,"P6",0.048
10,12,"P6",0.1
10,13,"P6",0.158
