"Group","Exemplar.Row","Exemplar.Col","Jaccard"
"P31M",17,5,0.1
"P31M",18,5,0.294
"P31M",19,5,0.1
"P31M",20,5,0.1
"P31M",1,6,0.1
"P31M",2,6,0.222
"P31M",3,6,0.158
"P31M",4,6,0.222
"P31M",5,6,0.222
"P31M",6,6,1
"P31M",7,6,0.222
"P31M",8,6,0.048
"P31M",9,6,0.048
"P31M",10,6,0.158
"P31M",11,6,0.158
"P31M",12,6,0.158
"P31M",13,6,0.222
"P31M",14,6,0.158
"P31M",15,6,0.294
"P31M",16,6,0.222
"P31M",17,6,0.158
"P31M",18,6,0.158
"P31M",19,6,0.1
"P31M",20,6,0.1
"P31M",1,7,0.1
"P31M",2,7,0.158
"P31M",3,7,0.294
"P31M",4,7,0.1
"P31M",5,7,0.294
"P31M",6,7,0.222
"P31M",7,7,1
"P31M",8,7,0.1
"P31M",9,7,0.158
"P31M",10,7,0.158
"P31M",11,7,0.1
"P31M",12,7,0.375
"P31M",13,7,0.158
"P31M",14,7,0.375
"P31M",15,7,0.294
"P31M",16,7,0.294
"P31M",17,7,0.222
"P31M",18,7,0.1
"P31M",19,7,0.571
"P31M",20,7,0.294
"P31M",1,8,0.222
"P31M",2,8,0.158
"P31M",3,8,0.158
"P31M",4,8,0.158
"P31M",5,8,0.1
"P31M",6,8,0.048
"P31M",7,8,0.1
"P31M",8,8,1
"P31M",9,8,0.467
"P31M",10,8,0.222
"P31M",11,8,0.158
"P31M",12,8,0.1
"P31M",13,8,0.158
"P31M",14,8,0.158
"P31M",15,8,0.048
"P31M",16,8,0.222
"P31M",17,8,0.222
"P31M",18,8,0.158
"P31M",19,8,0.158
"P31M",20,8,0.158
"P31M",1,9,0.375
"P31M",2,9,0.294
"P31M",3,9,0.1
"P31M",4,9,0.1
"P31M",5,9,0.294
"P31M",6,9,0.048
"P31M",7,9,0.158
"P31M",8,9,0.467
"P31M",9,9,1
"P31M",10,9,0.222
"P31M",11,9,0.222
"P31M",12,9,0.158
"P31M",13,9,0.222
"P31M",14,9,0.1
"P31M",15,9,0.158
"P31M",16,9,0.1
"P31M",17,9,0.158
"P31M",18,9,0.294
"P31M",19,9,0.158
"P31M",20,9,0.1
"P31M",1,10,0.294
"P31M",2,10,0.222
"P31M",3,10,0.222
"P31M",4,10,0.375
"P31M",5,10,0.1
"P31M",6,10,0.158
"P31M",7,10,0.158
"P31M",8,10,0.222
"P31M",9,10,0.222
"P31M",10,10,1
"P31M",11,10,0.222
"P31M",12,10,0.158
"P31M",13,10,0.1
"P31M",14,10,0.158
"P31M",15,10,0.294
"P31M",16,10,0.294
"P31M",17,10,0.222
"P31M",18,10,0.048
"P31M",19,10,0.222
"P31M",20,10,0.294
